"TIMESTAMP","RECORD","Temp_degC","EC_uScm","pH","DO_Sat","DO_mg","Turbidity_NTU","Chloraphylla_ugL"
"2015-01-01 00:03:30",32933,30.46,43510,7.73,88.5,5.7,3.7,4.7
"2015-01-01 00:33:30",32934,30.43,43530,7.75,89.6,5.77,1.8,6
"2015-01-01 01:03:30",32935,30.41,43510,7.76,90,5.8,2,5.1
"2015-01-01 01:33:30",32936,30.36,43620,7.76,89.4,5.76,2.1,4.8
"2015-01-01 02:03:30",32937,30.32,43680,7.75,88.6,5.71,3.4,5.8
"2015-01-01 02:33:30",32938,30.26,43840,7.75,86.2,5.56,2.6,6
"2015-01-01 03:03:30",32939,30.09,43680,7.76,89.2,5.77,2.4,5.2
"2015-01-01 03:33:30",32940,30.17,44030,7.77,89.1,5.75,3.7,5.2
"2015-01-01 04:03:30",32941,30.2,44560,7.8,90.2,5.8,5.6,6.4
"2015-01-01 04:33:30",32942,30.25,45060,7.82,90.2,5.79,6,7.2
"2015-01-01 05:03:30",32943,30.21,45340,7.82,89.8,5.76,8.2,6.1
"2015-01-01 05:33:30",32944,30.13,45440,7.83,89.4,5.74,6.1,4.8
"2015-01-01 06:03:30",32945,30.13,45410,7.82,88.9,5.71,5.9,5.6
"2015-01-01 06:33:30",32946,30.14,45460,7.83,89.8,5.76,4.7,5.6
"2015-01-01 07:03:30",32947,30.24,45530,7.82,86,5.51,4.5,5.6
"2015-01-01 07:33:30",32948,30.25,45490,7.82,85.2,5.46,5.5,4.6
"2015-01-01 08:03:30",32949,30.26,45250,7.81,86.4,5.54,4.6,5.2
"2015-01-01 08:33:30",32950,30.29,45080,7.81,86.4,5.54,3.6,4.8
"2015-01-01 09:03:30",32951,30.32,45020,7.8,86.5,5.55,3.4,4.7
"2015-01-01 09:33:30",32952,30.4,44880,7.8,87.1,5.58,3.1,5.5
"2015-01-01 10:03:30",32953,30.48,44750,7.79,87.5,5.6,3,4.4
"2015-01-01 10:33:30",32954,30.55,44610,7.79,88.2,5.64,2.9,5.3
"2015-01-01 11:03:30",32955,30.63,44480,7.78,88.2,5.64,2.7,4.8
"2015-01-01 11:33:30",32956,30.75,44340,7.78,88.9,5.68,3.1,5.4
"2015-01-01 12:03:30",32957,30.86,44180,7.78,90.5,5.77,3.2,5.6
"2015-01-01 12:33:30",32958,30.95,44120,7.78,91.7,5.84,3.5,6.6
"2015-01-01 13:03:30",32959,31.23,44060,7.81,96,6.09,2.4,6.6
"2015-01-01 13:33:30",32960,31.34,44100,7.83,99.8,6.32,2.2,7.9
"2015-01-01 14:03:30",32961,31.5,44180,7.84,102.2,6.45,5,9.6
"2015-01-01 14:33:30",32962,31.58,44170,7.89,106,6.69,3.7,11.3
"2015-01-01 15:03:30",32963,31.48,44180,7.91,107.6,6.8,3.5,13.2
"2015-01-01 15:33:30",32964,31.44,44320,7.93,109,6.89,3.5,14
"2015-01-01 16:03:30",32965,31.36,44480,7.94,113.8,7.19,3,13.7
"2015-01-01 16:33:30",32966,31.29,44720,7.93,109.6,6.93,3.5,12.3
"2015-01-01 17:03:30",32967,31.21,44920,7.94,106.7,6.75,4.1,11.9
"2015-01-01 17:33:30",32968,30.98,45070,7.92,103,6.54,3.8,11.1
"2015-01-01 18:03:30",32969,30.92,45250,7.92,102.4,6.5,3.5,9.9
"2015-01-01 18:33:30",32970,30.81,45120,7.88,99.4,6.32,4.1,9.3
"2015-01-01 19:03:30",32971,30.82,45320,7.88,98.5,6.26,4,9
"2015-01-01 19:33:30",32972,30.96,45380,7.93,103.6,6.57,3,9.9
"2015-01-01 20:03:30",32973,30.65,45250,7.88,98.2,6.26,3.2,7.7
"2015-01-01 20:33:30",32974,30.65,45060,7.88,97.9,6.24,3.8,8.3
"2015-01-01 21:03:30",32975,30.62,44970,7.88,98.5,6.29,3.7,8.7
"2015-01-01 21:33:30",32976,30.53,44820,7.86,96.6,6.18,3.7,8.4
"2015-01-01 22:03:30",32977,30.47,44600,7.83,93.5,5.99,3.3,7.3
"2015-01-01 22:33:30",32978,30.48,44440,7.82,94,6.03,3.2,6.6
"2015-01-01 23:03:30",32979,30.49,44220,7.81,93.7,6.01,3,5.5
"2015-01-01 23:33:30",32980,30.5,44000,7.8,93,5.97,3.3,5.8
"2015-01-02 00:03:30",32981,30.49,43820,7.79,92.6,5.95,3.5,5.1
"2015-01-02 00:33:30",32982,30.45,43670,7.75,89.8,5.78,4.8,6
"2015-01-02 01:03:30",32983,30.43,43550,7.73,90.8,5.85,4.2,5
"2015-01-02 01:33:30",32984,30.37,43520,7.78,91.8,5.92,3.3,5.4
"2015-01-02 02:03:30",32985,30.36,43520,7.79,92,5.94,2.3,5.2
"2015-01-02 02:33:30",32986,30.34,43650,7.8,92.1,5.94,2,5.8
