TIMESTAMP,RECORD,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
"2016-01-31 23:33:30",49266,28.49,1543,7.66,81.6,6.3,36.6,18.1
"2016-02-01 00:03:30",49267,28.5,1502,7.66,81.7,6.31,37.9,18.5
"2016-02-01 00:33:30",49268,28.52,1377,7.68,81.1,6.27,41.9,18
"2016-02-01 01:03:30",49269,28.52,1305,7.67,81.7,6.31,43.3,17.1
"2016-02-01 01:33:30",49270,28.5,1242,7.68,81.6,6.31,42.7,17.1
"2016-02-01 02:03:30",49271,28.5,1230,7.66,81.2,6.28,42,17.3
"2016-02-01 02:33:30",49272,28.5,1242,7.66,81.1,6.27,39.8,17.7
"2016-02-01 03:03:30",49273,28.49,1247,7.66,80.6,6.23,38.8,16.3
"2016-02-01 03:33:30",49274,28.46,1277,7.65,79.6,6.16,39.3,16.9
"2016-02-01 04:03:30",49275,28.43,1449,7.61,79.4,6.14,37.3,16.3
"2016-02-01 04:33:30",49276,28.42,1514,7.62,78.8,6.1,35.1,16.6
"2016-02-01 05:03:30",49277,28.4,1406,7.63,78.7,6.1,31.1,16.7
"2016-02-01 05:33:30",49278,28.42,1330,7.62,78.9,6.11,28.6,16.3
"2016-02-01 06:03:30",49279,28.45,1328,7.61,79.1,6.12,27.6,15.2
"2016-02-01 06:33:30",49280,28.47,1333,7.62,79.1,6.12,25.4,16
"2016-02-01 07:03:30",49281,28.49,1329,7.61,78.9,6.1,26,16.1
"2016-02-01 07:33:30",49282,28.53,1311,7.61,78.5,6.07,27.1,16.7
"2016-02-01 08:03:30",49283,28.54,1436,7.58,78.2,6.04,27.4,16.3
"2016-02-01 08:33:30",49284,28.56,1394,7.6,77.8,6.01,28.2,16.5
"2016-02-01 09:03:30",49285,28.59,1314,7.59,78.2,6.04,29,17.3
"2016-02-01 09:33:30",49286,28.6,1295,7.59,77.9,6.02,29.3,15.9
"2016-02-01 10:03:30",49287,28.59,1187,7.59,77.8,6.01,29.5,16.7
"2016-02-01 10:33:30",49288,28.58,1120,7.58,77.8,6.01,29.3,15.9
"2016-02-01 11:03:30",49289,28.58,1075,7.58,78.5,6.06,29.1,16.5
"2016-02-01 11:33:30",49290,28.71,970,7.59,79.7,6.15,29.4,17.4
"2016-02-01 12:03:30",49291,28.99,879,7.58,81.8,6.28,29.6,17.7
"2016-02-01 12:33:30",49292,29.3,825,7.59,83.3,6.36,27.8,18
"2016-02-01 13:03:30",49293,29.42,820,7.6,83.9,6.39,28.5,18.8
"2016-02-01 13:33:30",49294,29.41,816,7.61,84.8,6.46,28.3,19
"2016-02-01 14:03:30",49295,29.37,808,7.6,84.7,6.46,28.9,19.5
"2016-02-01 14:33:30",49296,29.24,792,7.6,83.5,6.38,27,18.9
"2016-02-01 15:03:30",49297,28.99,868,7.6,83.2,6.39,27,16.7
"2016-02-01 15:33:30",49298,28.79,1114,7.61,83.6,6.43,32.2,17.6
"2016-02-01 16:03:30",49299,28.71,1138,7.6,83.3,6.42,37.1,16.2
"2016-02-01 16:33:30",49300,28.76,1155,7.57,81.4,6.26,43.2,16.5
"2016-02-01 17:03:30",49301,28.83,1299,7.54,80.5,6.19,41.4,17
"2016-02-01 17:33:30",49302,28.77,1325,7.56,81,6.23,53.1,17.1
"2016-02-01 18:03:30",49303,28.74,1373,7.55,81.2,6.25,52.7,16.5
"2016-02-01 18:33:30",49304,28.59,1476,7.53,80.9,6.24,67.7,18.3
"2016-02-01 19:03:30",49305,28.44,1336,7.52,79.6,6.16,107.9,18.9
"2016-02-01 19:33:30",49306,28.45,1399,7.49,79.5,6.15,93,18.2
"2016-02-01 20:03:30",49307,28.21,1172,7.48,75.7,5.89,167.9,20.2
"2016-02-01 20:33:30",49308,28.18,1110,7.43,74.5,5.79,165.4,20.3
